gene_id	ERR337909	ERR337922	ERR337912	ERR337925	ERR337961	ERR337973	ERR337937	ERR337949
EgrG_000066000	1253	1099	363	333	2951	2675	3414	3423
EgrG_000066100	14	18	23	10	9	10	32	37
EgrG_000066200	73	71	40	39	63	76	65	73
EgrG_000066300	263	215	202	178	256	224	348	362
EgrG_000066400	381	326	149	154	319	319	298	307
EgrG_000066600	1080	1008	945	789	1038	956	1251	1312
EgrG_000066700	1246	1052	1000	874	590	539	1153	1161
EgrG_000066800	536	463	615	471	329	343	689	675
EgrG_000066900	25	14	13	12	11	4	29	17
EgrG_000067000	438	340	434	330	519	447	723	709
EgrG_000067100	3	3	0	0	1	0	0	1
EgrG_000067200	466	376	305	302	254	275	495	518
EgrG_000067300	50	38	36	33	31	36	50	61
EgrG_000067400	1762	1490	1225	1135	1086	973	1928	2045
EgrG_000067500	1248	1030	1116	867	946	822	1114	1111
EgrG_000067600	795	710	1171	965	496	404	688	693
EgrG_000067800	5233	4455	6383	5544	1944	1837	3477	3498
EgrG_000067900	679	545	236	211	279	220	327	321
EgrG_000068000	1617	1436	788	623	1376	1232	1073	1133
EgrG_000068100	1411	1167	1767	1600	852	812	1352	1337
EgrG_000068200	0	0	0	1	0	0	0	0
EgrG_000068300	4	8	7	8	7	5	8	11
EgrG_000068400	0	0	0	1	0	0	1	1
EgrG_000068500	0	0	0	0	0	0	0	0
EgrG_000068600	1	0	0	1	0	0	0	0
EgrG_000068700	1012	894	521	451	944	903	906	939
EgrG_000068800	211	187	323	257	218	232	281	257
EgrG_000068900	1457	1265	1036	867	2077	1969	1524	1584
EgrG_000069100	428	433	290	253	319	273	543	551
EgrG_000069200	242	213	140	125	288	254	236	269
EgrG_000069290	41	29	21	14	21	25	41	37
EgrG_000069310	35	26	14	10	13	14	18	26
EgrG_000069410	327	256	305	244	301	287	320	333
EgrG_000069420	35	33	12	16	28	26	35	25
EgrG_000069500	26	18	40	42	47	38	32	36
EgrG_000069600	907	718	1445	1283	1127	1091	1145	1186
EgrG_000069700	0	0	0	0	0	0	0	0
EgrG_000069800	7	8	15	13	7	4	24	15
EgrG_000069900	265	212	242	224	277	233	230	248
EgrG_000070300	879	745	499	407	675	578	647	644
EgrG_000070400	184	143	160	116	115	126	199	214
EgrG_000070500	75	58	71	70	64	59	113	101
EgrG_000070600	444	392	520	438	367	336	435	411
EgrG_000070700	953	840	529	453	993	901	740	691
EgrG_000070800	1	5	0	0	0	0	0	0
EgrG_000070900	397	320	389	308	490	414	483	491
EgrG_000071100	2	0	1	1	1	0	1	1
EgrG_000071200	0	0	0	0	0	0	1	1
EgrG_000071300	1356	1167	451	393	849	819	764	817
EgrG_000071400	533	460	222	193	386	342	327	376
EgrG_000071500	318	262	184	178	63	53	236	197
EgrG_000071700	374	286	180	177	262	207	310	334
EgrG_000071800	2782	2453	1286	1186	1788	1638	1584	1640
EgrG_000071900	220	191	6	3	5	4	2	8
EgrG_000072100	374	311	2	2	2	1	2	3
EgrG_000072200	2	1	0	0	0	0	0	0
EgrG_000072300	3	2	0	1	1	0	2	0
EgrG_000072500	8	6	8	8	4	5	16	16
EgrG_000072600	97	86	36	36	42	44	71	79
EgrG_000072700	917	743	380	353	484	432	656	663
EgrG_000072800	534	505	290	250	596	503	329	354
EgrG_000072900	0	0	0	0	0	0	0	0
EgrG_000073000	347	299	95	93	121	94	207	219
EgrG_000073100	45	51	11	12	11	17	20	21
EgrG_000073200	598	435	229	188	376	352	339	377
EgrG_000073300	1	0	1	1	1	0	1	1
EgrG_000073400	0	0	0	0	0	0	0	0
EgrG_000073500	87	56	45	55	49	47	116	103
EgrG_000073600	28	38	61	40	42	32	84	95
