gene_id	ERR337909	ERR337922	ERR337912	ERR337925	ERR337937	ERR337949
EgrG_000058600	44	41	53	38	70	65
EgrG_000058700	2697	2188	3547	3107	3351	3444
EgrG_000058800	874	729	650	567	851	889
EgrG_000058900	407	386	503	475	598	614
EgrG_000059000	63	36	87	83	69	75
EgrG_000059100	880	700	1103	912	1243	1267
EgrG_000059200	34	25	25	27	51	66
EgrG_000059300	14	17	18	20	38	28
EgrG_000059400	196	155	271	227	471	467
EgrG_000059500	767	665	549	477	789	768
EgrG_000059600	273	228	204	150	306	295
EgrG_000059650	1092	871	1162	955	1728	1721
EgrG_000059700	44	32	19	16	59	73
EgrG_000059800	889	729	512	474	1136	1149
EgrG_000059900	120	104	137	139	191	191
EgrG_000060000	689	591	375	311	565	550
EgrG_000060100	965	834	838	667	1110	1165
EgrG_000060200	417	346	384	312	528	543
EgrG_000060300	752	648	828	721	1118	1141
EgrG_000060400	435	390	691	639	559	593
EgrG_000060500	565	509	267	245	391	356
EgrG_000060600	2151	2000	3053	2629	2461	2506
EgrG_000060700	1701	1409	1712	1401	2867	2904
EgrG_000060800	2412	2085	3558	3073	2925	3076
EgrG_000060900	3240	2807	1809	1468	3166	3230
EgrG_000061000	962	870	666	582	1094	1098
EgrG_000061100	104	89	132	113	237	231
EgrG_000061200	14444	12482	8901	7731	9485	9437
EgrG_000061400	1820	1578	1744	1561	2162	2248
EgrG_000061600	435	370	380	368	409	387
EgrG_000061700	8	2	2	2	2	2
EgrG_000061800	0	0	0	0	0	0
EgrG_000061900	0	0	0	0	0	0
EgrG_000062000	544	494	479	426	1004	1025
EgrG_000062100	422	349	332	243	500	556
EgrG_000062300	956	790	542	427	974	923
EgrG_000062400	333	256	224	190	311	326
EgrG_000062500	1031	882	962	776	1280	1311
EgrG_000062600	54	48	58	48	75	67
EgrG_000062700	458	359	457	394	726	761
EgrG_000062750	282	245	419	339	514	494
EgrG_000062800	674	565	657	596	1121	1124
EgrG_000062900	2	3	4	2	6	12
EgrG_000063000	1035	831	703	658	1015	1040
EgrG_000063100	458	370	406	399	633	656
EgrG_000063200	2	0	1	3	2	3
EgrG_000063300	31	21	24	21	10	8
EgrG_000063400	1430	1207	2255	1885	1907	1874
EgrG_000063500	1339	1147	883	771	1343	1343
EgrG_000063610	777	713	1051	877	969	1050
EgrG_000063620	89	80	59	46	104	109
EgrG_000063700	1	1	0	0	0	0
EgrG_000063800	4284	3670	3529	3187	2833	3100
EgrG_000063900	327	306	134	132	225	261
EgrG_000064100	148	131	259	232	215	238
EgrG_000064200	179	148	265	224	277	264
EgrG_000064300	1518	1230	1261	1051	1695	1771
EgrG_000064400	220	221	314	258	310	280
EgrG_000064500	554	462	262	224	303	346
EgrG_000064600	34	20	8	8	21	31
EgrG_000064700	1173	924	1285	1090	861	885
EgrG_000064900	120	88	133	109	106	119
EgrG_000065000	205	148	148	139	343	335
EgrG_000065100	537	424	369	321	371	412
EgrG_000065200	36	38	22	13	35	38
EgrG_000065400	69	68	59	56	108	122
EgrG_000065450	425	347	176	154	300	308
EgrG_000065500	957	822	927	800	697	694
EgrG_000065700	579	502	546	415	408	416
EgrG_000065800	671	578	692	615	695	716
EgrG_000065900	2257	1889	967	856	1962	2107
EgrG_000066000	1253	1099	363	333	3414	3423
EgrG_000066100	14	18	23	10	32	37
EgrG_000066200	73	71	40	39	65	73
EgrG_000066300	263	215	202	178	348	362
EgrG_000066400	381	326	149	154	298	307
EgrG_000066600	1080	1008	945	789	1251	1312
EgrG_000066700	1246	1052	1000	874	1153	1161
EgrG_000066800	536	463	615	471	689	675
EgrG_000066900	25	14	13	12	29	17
EgrG_000067000	438	340	434	330	723	709
EgrG_000067100	3	3	0	0	0	1
EgrG_000067200	466	376	305	302	495	518
EgrG_000067300	50	38	36	33	50	61
EgrG_000067400	1762	1490	1225	1135	1928	2045
EgrG_000067500	1248	1030	1116	867	1114	1111
EgrG_000067600	795	710	1171	965	688	693
EgrG_000067800	5233	4455	6383	5544	3477	3498
EgrG_000067900	679	545	236	211	327	321
EgrG_000068000	1617	1436	788	623	1073	1133
EgrG_000068100	1411	1167	1767	1600	1352	1337
EgrG_000068200	0	0	0	1	0	0
EgrG_000068300	4	8	7	8	8	11
EgrG_000068400	0	0	0	1	1	1
EgrG_000068500	0	0	0	0	0	0
EgrG_000068600	1	0	0	1	0	0
EgrG_000068700	1012	894	521	451	906	939
EgrG_000068800	211	187	323	257	281	257
EgrG_000068900	1457	1265	1036	867	1524	1584
EgrG_000069100	428	433	290	253	543	551
EgrG_000069200	242	213	140	125	236	269
EgrG_000069290	41	29	21	14	41	37
EgrG_000069310	35	26	14	10	18	26
EgrG_000069410	327	256	305	244	320	333
EgrG_000069420	35	33	12	16	35	25
EgrG_000069500	26	18	40	42	32	36
EgrG_000069600	907	718	1445	1283	1145	1186
EgrG_000069700	0	0	0	0	0	0
EgrG_000069800	7	8	15	13	24	15
